2024-02-20 02:54:21,301 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:54:26,345 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:54:26,536 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: internal_messages
2024-02-20 02:54:26,537 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: stop_status
2024-02-20 02:54:26,538 DEBUG   SenderThread:4236 [sender.py:send_request():409] send_request: stop_status
2024-02-20 02:54:31,695 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:54:36,708 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:54:41,541 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: internal_messages
2024-02-20 02:54:41,542 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: stop_status
2024-02-20 02:54:41,543 DEBUG   SenderThread:4236 [sender.py:send_request():409] send_request: stop_status
2024-02-20 02:54:42,676 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:54:43,376 INFO    Thread-16 :4236 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\tzhan\PythonWS\10423_Spring2024\hw2\handout\wandb\run-20240220_025410-q1q8dixt\files\config.yaml
2024-02-20 02:54:47,824 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:54:52,833 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:54:56,542 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: stop_status
2024-02-20 02:54:56,543 DEBUG   SenderThread:4236 [sender.py:send_request():409] send_request: stop_status
2024-02-20 02:54:56,558 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: internal_messages
2024-02-20 02:54:58,729 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:03,750 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:08,778 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:11,492 DEBUG   SystemMonitor:4236 [system_monitor.py:_start():172] Starting system metrics aggregation loop
2024-02-20 02:55:11,493 DEBUG   SenderThread:4236 [sender.py:send():382] send: stats
2024-02-20 02:55:11,556 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: stop_status
2024-02-20 02:55:11,557 DEBUG   SenderThread:4236 [sender.py:send_request():409] send_request: stop_status
2024-02-20 02:55:11,572 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: internal_messages
2024-02-20 02:55:14,711 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:19,752 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:24,769 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:26,570 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: stop_status
2024-02-20 02:55:26,571 DEBUG   SenderThread:4236 [sender.py:send_request():409] send_request: stop_status
2024-02-20 02:55:26,587 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: internal_messages
2024-02-20 02:55:30,724 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:35,752 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:40,781 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:41,503 DEBUG   SenderThread:4236 [sender.py:send():382] send: stats
2024-02-20 02:55:41,580 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: stop_status
2024-02-20 02:55:41,580 DEBUG   SenderThread:4236 [sender.py:send_request():409] send_request: stop_status
2024-02-20 02:55:41,594 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: internal_messages
2024-02-20 02:55:46,712 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:51,732 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: status_report
2024-02-20 02:55:56,576 DEBUG   HandlerThread:4236 [handler.py:handle_request():146] handle_request: stop_status
